id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Cpne5	1.98E-08	0.048158563	0.968	0.5	3.96E-05
Fam46a	4.36E-08	0.081879083	0.968	0.444	8.73E-05
Taf6l	4.03E-07	0.010399085	0.952	0.5	0.000806803
Nfil3	6.00E-07	0.129172867	0.919	0.556	0.00119919
Dmwd	6.49E-07	0.000336652	0.694	0	0.001297085
Snai2	7.17E-07	0.011249311	0.919	0.5	0.001433529
Comp	9.62E-07	0.005449913	0.806	0	0.001924812
Slc43a3	1.45E-06	0.007644631	0.903	0.556	0.002893743
AABR07036331.2	1.70E-06	0.004349103	0.694	0	0.003407801
C1qc	2.72E-06	0.000149367	0.694	0	0.005435301
RatNP-3b	2.72E-06	0.000193283	0.694	0	0.005435301
Zfp260	2.72E-06	0.002187089	0.694	0	0.005435301
RT1-T24-4	2.72E-06	0.000746555	0.694	0	0.005435301
Sgo1	2.72E-06	0.004554734	0.694	0	0.005435301
Prex1	2.76E-06	0.00052601	0.677	0	0.005513844
Il31ra	3.10E-06	0.097796853	0.694	0	0.006200235
Lrrfip1	3.21E-06	0.206934869	0.952	0.5	0.006415326
Sostdc1	3.59E-06	0.00260903	0.758	0	0.007173365
S1pr2	3.59E-06	0.071253284	0.935	0.556	0.007182721
Gpc3	4.17E-06	0.000375132	0.677	0	0.008331473
Lmod1	4.17E-06	0.001549388	0.677	0	0.008331473
Sgo2	4.68E-06	0.000375981	0.645	0	0.009360345
Aspa	4.92E-06	0.000864671	0.677	0	0.009839978
Baiap2l1	5.00E-06	0.096852701	0.935	0.5	0.009997742
Ebi3	5.58E-06	0.003396354	0.71	0	0.011156226
S1pr1	5.58E-06	0.004452539	0.726	0	0.011156226
Calcrl	5.70E-06	0.060235959	0.661	0	0.011393276
AC131360.1	5.89E-06	0.002510698	0.71	0	0.011782617
Rin2	7.32E-06	0.005877709	0.887	0.5	0.014641471
Zfp503	7.73E-06	-0.132464809	0.952	0.611	0.015453676
Fbrsl1	7.73E-06	0.000398069	0.677	0	0.015454188
Lrrk2	7.73E-06	0.000992935	0.677	0	0.015454188
Lrfn3	7.73E-06	0.000329848	0.677	0	0.015454188
Flt1	8.15E-06	0.000933672	0.71	0	0.016308853
Pmfbp1	8.15E-06	0.0627399	0.903	0.444	0.016308853
LOC102555217	1.07E-05	0.000362032	0.613	0	0.021310208
AABR07060862.1	1.12E-05	0.001070738	0.661	0	0.022470323
