id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Xdh	0.000226933	0.524959325	1	0	0.453866957
Aqp1	0.000285779	0.122480941	0.984	0	0.571558573
Srd5a2	0.000285779	0.004305163	0.984	0	0.571558573
Hoxb4	0.000285779	0.280145423	0.984	0	0.571558573
Trib3	0.000285779	0.014279487	0.984	0	0.571558573
AABR07016934.1	0.000285779	0.046416249	0.984	0	0.571558573
F12	0.000285779	0.166249631	0.984	0	0.571558573
Hectd4	0.000285779	0.054625306	0.984	0	0.571558573
Lrat	0.000285779	0.01469337	0.984	0	0.571558573
Kcnc1	0.000285779	0.011137225	0.984	0	0.571558573
Cenpe	0.000285779	0.065860497	0.984	0	0.571558573
Mboat4	0.000285779	0.064449664	0.984	0	0.571558573
Wdr17	0.000285779	0.105230819	0.984	0	0.571558573
Btc	0.000285779	0.043238253	0.984	0	0.571558573
Brinp2	0.000285779	0.0200032	0.984	0	0.571558573
Klhdc8b	0.000285779	0.143153792	0.984	0	0.571558573
Dsel	0.000285779	0.121589796	0.984	0	0.571558573
Ccdc68	0.000285779	0.47433409	0.984	0	0.571558573
Rab11fip3	0.000285779	0.209255005	0.984	0	0.571558573
Gfra3	0.000285779	0.296313013	0.984	0	0.571558573
Nrxn2	0.000285779	0.632940505	0.984	0	0.571558573
Cd34	0.000285779	0.05199185	0.984	0	0.571558573
RGD1309621	0.000285779	0.239041237	0.984	0	0.571558573
ENSRNOG00000030871	0.000285779	0.38571629	0.984	0	0.571558573
Zfp105	0.000360187	0.693945843	0.984	0	0.720373024
Zbtb47	0.000447701	0.022705256	0.952	0	0.895401759
Dcn	0.000450602	0.130714983	0.968	0	0.901203697
Gal	0.000450602	0.18388318	0.968	0	0.901203697
Crip1	0.000450602	0.678069343	0.968	0	0.901203697
Fam46a	0.000450602	0.082144152	0.968	0	0.901203697
Rims1	0.000450602	0.03022791	0.968	0	0.901203697
Ina	0.000450602	0.319419314	0.968	0	0.901203697
Cpne5	0.000450602	0.051139335	0.968	0	0.901203697
Mrgprb5	0.000450602	0.010617817	0.968	0	0.901203697
Kntc1	0.000450602	0.167026137	0.968	0	0.901203697
Ecel1	0.000450602	0.262419476	0.968	0	0.901203697
Mab21l2	0.000450602	0.108929643	0.968	0	0.901203697
Zfp37	0.000450602	0.174780781	0.968	0	0.901203697
Slc25a15	0.000450602	0.093323974	0.968	0	0.901203697
Atg2b	0.000450602	0.014575675	0.968	0	0.901203697
Cmpk2	0.000450602	0.16888043	0.968	0	0.901203697
Zbtb38	0.000450602	0.380995879	0.968	0	0.901203697
Tstd1	0.000450602	0.015296075	0.968	0	0.901203697
Rgl1	0.000450602	0.008918897	0.968	0	0.901203697
AABR07004228.1	0.000450602	0.005699514	0.968	0	0.901203697
Tmcc2	0.000450602	0.103865183	0.968	0	0.901203697
Tmem164	0.000450602	0.069045293	0.968	0	0.901203697
Nov	0.000561464	0.032911594	0.952	0	1
Fgf2	0.000561464	0.066740312	0.952	0	1
Gatb	0.000689821	0.003431365	0.919	0	1
Bdnf	0.000701005	1.551982681	0.952	0	1
Rbp2	0.000701005	0.030004529	0.952	0	1
