id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Smtn	2.10E-17	0.021147083	0.458	0.06	4.19E-14
Dot1l	3.28E-15	0.018588913	0.495	0.084	6.57E-12
Fam111a	4.04E-15	0.108444411	0.407	0.048	8.08E-12
Syt6	1.92E-14	-0.011257743	0.528	0.169	3.84E-11
Pdzrn3	2.03E-14	0.002656842	0.324	0.012	4.06E-11
Slc16a13	5.20E-14	-0.024264725	0.389	0.048	1.04E-10
Ccdc146	5.64E-14	0.002613714	0.264	0	1.13E-10
Itsn1	7.38E-14	0.145651126	0.384	0.024	1.48E-10
AC131360.1	9.10E-14	-0.048480488	0.264	0.012	1.82E-10
1-Sep	1.36E-13	0.209691104	0.468	0.12	2.72E-10
Srgap2	1.45E-13	-0.209918825	0.514	0.145	2.89E-10
Unc5b	2.19E-13	0.062195838	0.167	0.578	4.38E-10
Dgkb	6.64E-13	-0.128505898	0.458	0.096	1.33E-09
Apod	8.98E-13	0.003048866	0.486	0.133	1.80E-09
Lef1	9.13E-13	-0.054628144	0.356	0.048	1.83E-09
Arntl	1.51E-12	0.003983942	0.324	0	3.02E-09
Hectd4	1.61E-12	0.000948827	0.449	0.096	3.23E-09
Cecr2	1.75E-12	0.003048065	0.444	0.108	3.50E-09
Sema4a	3.41E-12	-0.036718686	0.319	0.024	6.83E-09
Pcnx2	3.41E-12	0.001882484	0.292	0.048	6.83E-09
Fjx1	3.42E-12	0.036858329	0.264	0	6.85E-09
Abi3bp	3.78E-12	-0.168673994	0.486	0.157	7.57E-09
Gal	8.67E-12	-0.691031406	0.444	0.819	1.73E-08
Fcgbp	9.96E-12	0.034109887	0.255	0.024	1.99E-08
Sphk1	2.16E-11	-0.046405835	0.338	0.036	4.33E-08
Arhgap24	2.44E-11	-0.002103337	0.306	0.036	4.88E-08
Elmsan1	2.54E-11	0.013122214	0.352	0.072	5.07E-08
Tbx3	3.93E-11	-0.06214763	0.296	0.012	7.86E-08
Vti1a	5.47E-11	-0.020498621	0.426	0.133	1.09E-07
Nusap1	6.23E-11	-0.038262191	0.255	0.012	1.25E-07
Socs1	6.77E-11	-0.056352389	0.444	0.133	1.35E-07
Zfp711	7.28E-11	-0.027571313	0.463	0.108	1.46E-07
Stk35	1.01E-10	-0.000609374	0.296	0.012	2.01E-07
Tnfaip8l3	1.08E-10	-0.119404375	0.338	0.084	2.16E-07
Atp6v1c2	1.15E-10	0.004731331	0.329	0.06	2.30E-07
Pdzd2	2.16E-10	0.013782167	0.426	0.096	4.33E-07
Sox15	3.93E-10	0.006325675	0.486	0.072	7.86E-07
Creld2	4.09E-10	-0.171515416	0.384	0.096	8.19E-07
Cntnap4	4.63E-10	0.002898052	0.25	0.012	9.26E-07
Lgi3	4.65E-10	0.166003066	0.231	0.578	9.31E-07
Erbin	5.62E-10	-0.148949188	0.417	0.108	1.12E-06
Acer2	6.58E-10	-0.014452709	0.44	0.036	1.32E-06
Rasef	8.71E-10	0.02037301	0.259	0.012	1.74E-06
Hcn2	9.40E-10	-0.043441943	0.343	0.12	1.88E-06
Pradc1	1.26E-09	0.098955519	0.292	0.06	2.51E-06
AABR07017159.1	1.47E-09	-0.017351198	0.333	0.06	2.95E-06
Jazf1	1.65E-09	-0.096666165	0.394	0.169	3.31E-06
Fcer1g	1.70E-09	0.01833847	0.259	0.024	3.41E-06
Gfm2	1.72E-09	-0.038337144	0.505	0.241	3.43E-06
Taf1c	2.11E-09	0.081142526	0.319	0.06	4.23E-06
Penk	2.17E-09	0.075989268	0.338	0.024	4.35E-06
St3gal6	2.34E-09	0.065671861	0.199	0.566	4.68E-06
Ebi3	2.42E-09	0.008975037	0.356	0.096	4.84E-06
Cdh8	2.67E-09	-0.022686161	0.546	0.241	5.35E-06
Ier5l	2.70E-09	-0.031733006	0.329	0.06	5.40E-06
Tyrobp	3.10E-09	0.056568711	0.259	0.024	6.20E-06
Wdr60	3.40E-09	-0.070972296	0.319	0.108	6.80E-06
Mertk	3.60E-09	0.021448554	0.278	0.06	7.21E-06
Atg2b	4.08E-09	0.012855028	0.458	0.157	8.16E-06
Fsip1	4.67E-09	-0.001555254	0.44	0.169	9.34E-06
Zfp691	5.00E-09	0.088570132	0.403	0.145	1.00E-05
Uba7	5.78E-09	0.011157912	0.435	0.133	1.16E-05
Ucn2	5.84E-09	-0.100832512	0.394	0.012	1.17E-05
Gpr37l1	7.54E-09	0.034642279	0.477	0.145	1.51E-05
Vps25	7.55E-09	0.003477697	0.44	0.133	1.51E-05
Zfp521	1.07E-08	-0.023677732	0.398	0.024	2.14E-05
