p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSRNOG00000034161	1.25547261024975e-60	1.80814478538888	0.722	0	2.51094522049951e-57
Crabp1	1.40552083716236e-49	2.1017364481727	0.796	0.059	2.81104167432473e-46
AABR07036331.2	3.70648542208073e-48	-0.0285423821159884	0.593	0.007	7.41297084416147e-45
Gsdma	3.68278694372949e-47	-0.0150342199692912	0.602	0.007	7.36557388745898e-44
Nanos3	4.4637062030785e-43	0.0862642012876145	0.588	0.003	8.927412406157e-40
AABR07052486.1	4.92279278185351e-43	-0.0250301544917928	0.542	0.007	9.84558556370702e-40
Map3k10	4.92279278185351e-43	-0.0817123198787261	0.542	0.007	9.84558556370702e-40
Nupl2	1.3269506875268e-41	-0.00937497068808622	0.583	0.007	2.6539013750536e-38
Grk4	1.34130157474427e-41	-0.0505405548385889	0.583	0.007	2.68260314948853e-38
Emcn	1.8614090738567e-41	-0.102598694103558	0.574	0.01	3.72281814771339e-38
Nfkbie	2.29489930657638e-41	-0.10615616941486	0.583	0.014	4.58979861315275e-38
Cdc42bpg	3.0508352286107e-41	-0.0321688611402035	0.602	0.021	6.10167045722141e-38
Lrrn4cl	2.25771068502877e-40	0.0843177386463931	0.579	0.003	4.51542137005755e-37
Spata6l	2.4290702993632e-40	0.040162865803635	0.514	0.007	4.85814059872641e-37
Nppc	2.48445889565191e-40	-0.0472855881497739	0.514	0.007	4.96891779130381e-37
Galns	2.73174234789932e-40	-0.0482200288957507	0.551	0.003	5.46348469579864e-37
Col3a1	9.73638311222458e-39	-0.0091823332817699	0.486	0.003	1.94727662244492e-35
Cldn19	9.73638311222458e-39	-0.0105826742848955	0.486	0.003	1.94727662244492e-35
C1qb	1.20190764449897e-38	-0.0138601116724152	0.495	0.003	2.40381528899794e-35
Krba1	4.62263727803444e-38	0.00263594639663651	0.546	0.003	9.24527455606888e-35
Sox15	1.08550883147152e-37	-0.0585222009491626	0.486	0.007	2.17101766294305e-34
Rnf38	1.58028873266595e-37	-0.0406241565661255	0.542	0.007	3.16057746533189e-34
Cdc25a	1.59285048391881e-37	0.00287721265418099	0.56	0.01	3.18570096783762e-34
Bcl9l	2.95017677806729e-37	0.00291309298306957	0.491	0.003	5.90035355613459e-34
Slit2	3.51586262184905e-37	-0.105027660516326	0.491	0.007	7.03172524369811e-34
LOC680045	6.76099995818565e-37	-0.00973202950531199	0.477	0.003	1.35219999163713e-33
Sgo1	1.45364610983902e-36	-0.0510486624750069	0.463	0.003	2.90729221967805e-33
AABR07054361.1	1.59280867279407e-36	-0.158860499422594	0.579	0.021	3.18561734558814e-33
Plvap	2.17146571755956e-36	0.0254692055585656	0.481	0.003	4.34293143511912e-33
Srd5a2	5.77903462460641e-36	-0.0540903908887153	0.468	0.007	1.15580692492128e-32
